@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %09s "SIS18_MID"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le      0.000510998928
@ CHARGE           %le                   1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951268
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7199988
@ ALFA             %le        0.0452744126
@ ORBIT5           %le                  -0
@ GAMMATR          %le         4.699737352
@ Q1               %le          4.17069226
@ Q2               %le         3.279293335
@ DQ1              %le        -3.834114329
@ DQ2              %le         -6.00864556
@ DXMAX            %le         2.798900023
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         15.21497422
@ BETYMAX          %le         24.63947212
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.168250884
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %09s "-- SIS --"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "09/08/17"
@ TIME             %08s "11.42.29"
* NAME               KEYWORD                             S                  L               ALFX               ALFY               BETX               BETY                 DX                DPX                MUX                MUY               DMUX               DMUY              ANGLE                K1L                 E1                 E2               LRAD 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "QS3T"              "QUADRUPOLE"               71.74019782             0.4804        1.348817951       0.5043504151        15.21496948        13.29716137        2.409041551      -0.3401803788        1.384762361        1.087003014                  0                  0                  0          0.3151424                  0                  0                  0
 "DR6"               "DRIFT"                    72.23999782             0.4998        1.256205799       0.4572024729        13.91297861        12.81657723        2.239019398      -0.3401803788        1.390230711         1.09309778                  0                  0                  0                  0                  0                  0                  0
 "S10DX5H"           "MONITOR"                  72.23999782                  0        1.256205799       0.4572024729        13.91297861        12.81657723        2.239019398      -0.3401803788        1.390230711         1.09309778                  0                  0                  0                  0                  0                  0                  0
 "DR1"               "DRIFT"                    72.88499782              0.645        1.136688315       0.3963572892        12.36956191        12.26603119        2.019603053      -0.3401803788        1.398059016        1.101288716                  0                  0                  0                  0                  0                  0                  0
 "RB"                "SBEND"                     75.5029917        2.617993878       0.6621353224       0.3944476305        7.709582675         10.1268211        1.478037839     -0.07811685201        1.440750814        1.139026585                  0                  0       0.2617993878                  0       0.1274090354       0.1274090354                  0
 "DR2"               "DRIFT"                     76.4729917               0.97       0.4811565914        0.283759266        6.600589519        9.468960413        1.402264493     -0.07811685201        1.462459451        1.154817851                  0                  0                  0                  0                  0                  0                  0
 "RB"                "SBEND"                    79.09098558        2.617993878     0.001618008676       0.1804861546         5.34992794        8.213127956        1.539536738       0.1841439725        1.534181235        1.202788896                  0                  0       0.2617993878                  0       0.1274090354       0.1274090354                  0
 "DR3C"              "DRIFT"                    84.94999728          5.8590117       -1.093541983      -0.5561236382        11.74752328        10.41399237        2.618438428       0.1841439725        1.666545257        1.311984513                  0                  0                  0                  0                  0                  0                  0
 "S11MB1"            "KICKER"                   84.94999728                  0       -1.093541983      -0.5561236382        11.74752328        10.41399237        2.618438428       0.1841439725        1.666545257        1.311984513                  0                  0                  0                  0                  0                  0                  0
 "DR3D"              "DRIFT"                    85.92999728               0.98         -1.2767225      -0.6793317208        14.07038248        11.62473862        2.798899521       0.1841439725        1.678688692        1.326179071                  0                  0                  0                  0                  0                  0                  0
