@ NAME             %11s "SECTORTABLE"
@ TYPE             %09s "SECTORMAP"
@ TITLE            %09s "-- SIS --"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "09/08/17"
@ TIME             %08s "11.42.29"
* NAME                              POS                R11                R21                R31                R41                R51                R61                R12                R22                R32                R42                R52                R62                R13                R23                R33                R43                R53                R63                R14                R24                R34                R44                R54                R64                R15                R25                R35                R45                R55                R65                R16                R26                R36                R46                R56                R66 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DR3D"                     85.92999728                  1                  0                  0                  0                  0                  0               0.98                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.98                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.558975731e-07                  1
 "QS1F"                     86.96999728       0.8506175437      -0.2798983873                  0                  0                  0                  0       0.9876791253       0.8506175437                  0                  0                  0                  0                  0                  0        1.157212162       0.3100143242                  0                  0                  0                  0        1.093949413        1.157212162                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR4"                      87.56999728                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.566719836e-07                  1
 "QS2D"                     88.60999728        1.279542435       0.5613298345                  0                  0                  0                  0        1.135212853        1.279542435                  0                  0                  0                  0                  0                  0       0.7442976446      -0.4696216114                  0                  0                  0                  0       0.9497455086       0.7442976446                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR5"                      89.31979728                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.853429566e-07                  1
 "QS3T"                     89.80019728       0.9252530002      -0.3072505768                  0                  0                  0                  0       0.4683697817       0.9252530002                  0                  0                  0                  0                  0                  0        1.076657048       0.3231546099                  0                  0                  0                  0       0.4926137346        1.076657048                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.254420348e-07                  1
 "DR6"                      90.29999728                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.305077623e-07                  1
 "DR1"                      90.94499728                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.684223823e-07                  1
 "RB"                       93.56299116       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR2"                      94.53299116                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.532863734e-07                  1
 "RB"                       97.15098504       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR3E"                     99.03000204                  1                  0                  0                  0                  0                  0           1.879017                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0           1.879017                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    4.906488676e-07                  1
 "S12MB2"                   99.03000204                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1
 "DR3F"                      103.490002                  1                  0                  0                  0                  0                  0               4.46                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               4.46                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.164595078e-06                  1
 "DR3G"                      103.990002                  1                  0                  0                  0                  0                  0                0.5                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.5                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.305599863e-07                  1
 "QS1F"                      105.030002       0.8506175437      -0.2798983873                  0                  0                  0                  0       0.9876791253       0.8506175437                  0                  0                  0                  0                  0                  0        1.157212162       0.3100143242                  0                  0                  0                  0        1.093949413        1.157212162                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR4"                       105.630002                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.566719836e-07                  1
 "QS2D"                      106.670002        1.279542435       0.5613298345                  0                  0                  0                  0        1.135212853        1.279542435                  0                  0                  0                  0                  0                  0       0.7442976446      -0.4696216114                  0                  0                  0                  0       0.9497455086       0.7442976446                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647715e-07                  1
 "DR5"                       107.379802                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.853429566e-07                  1
 "QS3T"                      107.860202       0.9252530002      -0.3072505768                  0                  0                  0                  0       0.4683697817       0.9252530002                  0                  0                  0                  0                  0                  0        1.076657048       0.3231546099                  0                  0                  0                  0       0.4926137346        1.076657048                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.254420348e-07                  1
 "DR6"                       108.360002                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.305077623e-07                  1
 "S12DX5H"                   108.360002                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1
 "DR1"                       109.005002                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.684223823e-07                  1
 "RB"                       111.6229959       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR2"                      112.5929959                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.532863734e-07                  1
 "RB"                       115.2109898       0.9990813106   -0.0007095825341                  0                  0      -0.2631840818                  0        2.588190451       0.9990813106                  0                  0      -0.3407417816                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0       0.3407417816       0.2631840818                  0                  0     -0.02980275114                  1
 "DR3A"                     120.5100015                  1                  0                  0                  0                  0                  0          5.2990117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0          5.2990117                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0     1.38367779e-06                  1
 "S01MB3"                   120.5100015                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1
 "DR3B"                     122.0500015                  1                  0                  0                  0                  0                  0               1.54                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               1.54                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    4.021247578e-07                  1
